,run_length,rating
354,[108],8.0
355,[98],6.9
356,[135],7.6
357,[115],6.6
358,[93],7.2
359,[128],8.1
360,[115],8.2
361,[102],7.7
362,[100],7.7
363,[128],7.4
364,[110],7.0
365,[118],7.4
366,[116],7.1
367,[107],7.9
368,[94],7.7
369,[107],6.6
370,[107],7.0
371,[101],7.7
372,[95],7.0
373,[112],7.5
374,[101],6.8
375,[93],7.1
376,[98],7.3
377,[90],8.0
378,[109],6.9
379,[94],8.1
380,[86],6.9
381,[117],7.1
382,[92],7.0
383,[107],7.3
384,[84],7.3
385,[105],7.8
386,[130],7.8
387,[97],7.9
388,[129],6.9
389,[130],7.9
390,[112],7.0
391,[101],6.9
392,[88],6.2
393,[130],8.2
394,[109],6.5
395,[170],8.4
396,[104],6.8
397,[106],6.8
398,[119],6.9
399,[94],7.2
400,[152],9.0
401,[154],8.9
402,[175],9.2
403,[127],8.6
404,[118],8.6
405,[151],8.5
406,[180],8.2
407,[189],8.6
408,[202],9.0
409,[110],8.5
410,[146],8.7
411,[111],8.1
412,[106],8.5
413,[99],8.3
414,[122],8.1
415,[122],8.5
416,[141],8.1
417,[102],8.3
418,[136],8.3
419,[124],8.0
420,[170],8.3
421,[117],8.1
422,[114],8.3
423,[130],8.6
424,[99],8.1
425,[137],8.0
426,[96],8.9
427,[98],8.1
428,[115],7.3
429,[153],8.1
430,[170],8.2
431,[100],7.8
432,[107],8.2
433,[138],8.2
434,[117],7.6
435,[101],7.4
436,[116],7.7
437,[109],7.2
438,[145],7.6
439,[168],7.8
440,[101],7.6
441,[178],8.2
442,[117],7.9
443,[120],6.5
444,[138],7.2
445,[157],7.7
446,[113],7.6
447,[98],6.9
448,[112],7.7
449,[134],7.8
450,[138],7.9
451,[158],7.8
452,[115],8.2
453,[129],8.1
454,[167],7.5
455,[110],7.0
456,[157],7.8
457,[107],7.9
458,[122],7.7
459,[121],7.6
460,[110],6.7
461,[120],7.5
462,[125],6.5
463,[162],7.6
464,[122],7.5
465,[130],7.3
466,[138],7.3
467,[130],7.9
468,[125],7.5
469,[106],6.8
470,[112],7.0
471,[111],7.0
472,[101],6.9
473,[129],7.6
474,[132],7.2
475,[146],7.7
476,[122],6.9
477,[111],6.9
478,[154],7.5
479,[96],7.0
480,[229],8.4
481,[209],7.9
482,[110],7.7
483,[120],6.8
484,[122],7.6
485,[126],7.0
486,[129],8.2
487,[100],5.8
488,[111],7.0
489,[122],7.7
490,[92],6.8
491,[108],7.2
492,[107],7.7
493,[140],7.0
494,[119],7.9
495,[115],6.9
496,[127],7.7
497,[126],7.0
498,[116],7.4
499,[109],7.4
500,[142],9.3
501,[152],9.0
502,[139],8.8
503,[154],8.9
504,[142],8.8
505,[178],8.8
506,[201],8.9
507,[175],9.2
508,[179],8.7
509,[169],8.6
510,[127],8.6
511,[165],8.4
512,[155],8.5
513,[118],8.6
514,[153],8.3
515,[169],8.6
516,[195],8.9
517,[151],8.5
518,[130],8.5
519,[180],8.2
520,[189],8.6
521,[202],9.0
522,[122],8.3
523,[194],7.8
524,[119],8.5
525,[132],8.2
526,[110],8.5
527,[146],8.7
528,[178],8.3
529,[88],8.5
530,[103],8.1
531,[99],8.3
532,[107],8.1
533,[133],8.7
534,[108],8.3
535,[146],8.4
536,[126],8.3
537,[149],8.1
538,[122],8.1
539,[122],8.5
540,[135],8.2
541,[141],8.1
542,[120],8.0
543,[91],7.7
544,[102],8.3
545,[130],8.1
546,[181],8.4
547,[136],8.3
548,[144],8.0
549,[112],8.5
550,[113],8.0
551,[117],7.6
552,[170],8.3
553,[116],8.1
554,[150],8.5
555,[114],8.3
556,[106],8.5
557,[108],8.0
558,[130],8.6
559,[156],8.0
560,[101],7.2
561,[114],8.0
562,[96],8.9
563,[116],8.3
564,[122],7.7
565,[118],8.0
566,[137],8.1
567,[93],8.1
568,[134],8.1
569,[132],8.1
570,[120],7.7
571,[118],8.2
572,[116],8.6
573,[98],8.1
574,[147],8.4
575,[153],8.1
576,[166],7.8
577,[116],7.9
578,[127],7.9
579,[119],7.7
580,[120],7.7
581,[170],8.2
582,[148],8.1
583,[100],7.8
584,[113],7.4
585,[106],7.9
586,[138],8.2
587,[126],8.0
588,[143],7.8
589,[102],8.5
590,[123],7.8
591,[120],8.1
592,[158],8.2
593,[101],8.4
594,[168],7.8
595,[105],7.6
596,[115],7.1
597,[161],7.7
598,[162],7.6
599,[143],8.0
600,[201],8.9
601,[179],8.7
602,[121],8.6
603,[124],8.7
604,[189],8.6
605,[162],7.8
606,[143],8.0
607,[131],8.3
608,[169],7.8
609,[130],8.1
610,[115],7.0
611,[136],6.5
612,[140],7.5
613,[151],7.3
614,[142],6.5
615,[152],7.6
616,[118],8.2
617,[161],7.8
618,[169],7.1
619,[123],6.0
620,[112],6.9
621,[115],7.5
622,[166],7.8
623,[127],7.9
624,[101],8.0
625,[152],7.0
626,[161],7.4
627,[141],7.4
628,[142],7.9
629,[157],7.7
630,[88],7.6
631,[91],8.2
632,[136],6.6
633,[144],7.4
634,[146],7.7
635,[105],7.9
636,[92],6.4
637,[122],5.2
638,[84],8.0
639,[125],8.0
640,[132],7.3
641,[130],8.6
642,[124],7.0
643,[98],8.1
644,[94],7.7
645,[108],6.4
646,[120],6.4
647,[102],8.0
648,[112],7.5
649,[101],6.8
650,[143],6.9
651,[123],7.3
652,[110],6.7
653,[110],7.6
654,[105],7.8
655,[143],7.0
656,[142],6.7
657,[134],8.4
658,[105],7.3
659,[106],5.7
660,[113],7.7
661,[122],6.8
662,[107],6.4
663,[126],7.5
664,[121],7.0
665,[130],6.3
666,[123],7.8
667,[114],7.3
668,[76],8.0
669,[86],6.9
670,[86],8.2
671,[126],7.0
672,[116],6.6
673,[106],5.8
674,[129],7.1
675,[118],6.6
676,[130],4.7
677,[129],6.6
678,[120],7.0
679,[104],6.8
680,[92],7.5
681,[120],7.8
682,[127],7.6
683,[121],7.0
684,[92],5.6
685,[136],6.9
686,[113],6.2
687,[131],6.1
688,[123],6.8
689,[83],7.6
690,[110],6.0
691,[115],5.5
692,[124],5.0
693,[114],6.6
694,[110],5.2
695,[117],4.9
696,[113],7.5
697,[97],6.9
698,[128],7.0
699,[141],7.8
700,[195],8.9
701,[178],8.3
702,[118],8.0
703,[134],8.1
704,[106],7.9
705,[163],7.2
706,[139],8.1
707,[160],8.3
708,[144],7.7
709,[110],7.6
710,[121],8.1
711,[156],8.2
712,[183],6.2
713,[158],7.6
714,[238],8.1
715,[142],7.6
716,[157],7.4
717,[140],7.6
718,[165],7.2
719,[150],7.3
720,[131],7.6
721,[123],6.8
722,[121],7.1
723,[172],8.2
724,[191],8.0
725,[212],8.1
726,[123],7.1
727,[164],7.5
728,[127],7.8
729,[114],7.6
730,[147],7.9
731,[144],8.0
732,[123],7.7
733,[120],7.9
734,[141],7.3
735,[134],7.3
736,[107],7.1
737,[185],8.1
738,[189],8.0
739,[154],7.2
740,[137],7.2
741,[138],7.2
742,[118],6.1
743,[122],7.8
744,[102],6.6
745,[153],7.7
746,[167],8.2
747,[133],7.3
748,[133],7.3
749,[103],7.3
750,[115],6.7
751,[122],7.7
752,[138],8.0
753,[123],6.4
754,[167],6.7
755,[111],7.5
756,[161],7.2
757,[93],7.4
758,[163],7.7
759,[124],7.4
760,[128],7.8
761,[129],8.0
762,[128],7.5
763,[202],7.7
764,[135],6.7
765,[107],7.2
766,[97],6.4
767,[110],6.9
768,[129],5.9
769,[140],7.2
770,[141],6.6
771,[100],6.7
772,[111],7.0
773,[155],7.3
774,[144],7.8
775,[114],6.8
776,[140],7.3
777,[137],6.5
778,[130],6.6
779,[133],7.5
780,[117],6.8
781,[138],6.7
782,[105],7.3
783,[162],6.7
784,[125],7.4
785,[145],7.3
786,[109],7.3
787,[113],6.6
788,[66],8.0
789,[130],8.0
790,[178],7.8
791,[138],6.7
792,[175],7.4
793,[141],7.8
794,[146],7.6
795,[123],7.6
796,[135],7.5
797,[143],7.3
798,[114],8.1
799,[89],7.6
800,[146],8.4
801,[117],8.4
802,[116],7.0
803,[109],8.5
804,[99],7.9
805,[104],7.7
806,[135],7.3
807,[112],7.5
808,[117],7.3
809,[90],7.5
810,[103],7.6
811,[113],7.6
812,[85],7.0
813,[95],7.0
814,[109],8.1
815,[122],8.0
816,[116],7.3
817,[104],7.6
818,[105],7.3
819,[115],7.1
820,[122],6.8
821,[121],7.0
822,[123],7.6
823,[103],7.2
824,[108],7.2
825,[111],7.2
826,[126],7.1
827,[114],6.5
828,[103],6.8
829,[115],6.9
830,[124],6.6
831,[100],7.0
832,[104],6.8
833,[122],6.4
834,[100],6.7
835,[113],6.2
836,[120],7.1
837,[101],7.3
838,[93],6.6
839,[81],6.5
840,[98],6.7
841,[109],6.2
842,[109],7.1
843,[91],7.8
844,[86],6.3
845,[134],7.3
846,[98],6.9
847,[127],7.3
848,[110],6.8
849,[125],6.5
850,[88],7.1
851,[116],6.9
852,[100],6.8
853,[104],6.6
854,[91],7.5
855,[85],5.7
856,[99],7.2
857,[117],6.7
858,[88],6.1
859,[106],7.3
860,[94],6.8
861,[123],6.9
862,[92],6.9
863,[128],7.4
864,[137],8.0
865,[99],6.5
866,[169],6.6
867,[94],6.2
868,[121],6.6
869,[101],5.6
870,[85],7.5
871,[94],6.3
872,[191],7.5
873,[108],6.2
874,[95],6.4
875,[84],7.4
876,[94],5.9
877,[100],6.2
878,[119],7.7
879,[148],7.1
880,[98],7.4
881,[89],7.5
882,[113],6.6
883,[96],5.8
884,[81],7.5
885,[107],6.4
886,[96],7.6
887,[96],6.7
888,[91],6.5
889,[120],6.2
890,[106],6.6
891,[90],6.2
892,[86],7.7
893,[105],5.9
894,[83],5.3
895,[122],6.8
896,[105],7.4
897,[118],7.5
898,[84],7.8
899,[88],6.4
900,[150],8.5
901,[106],8.5
902,[128],8.0
903,[134],8.0
904,[136],7.7
905,[112],7.2
906,[109],7.1
907,[110],7.1
908,[121],8.2
909,[136],7.8
910,[100],7.0
911,[109],6.4
912,[113],7.5
913,[94],7.0
914,[104],7.4
915,[115],6.4
916,[152],7.7
917,[104],7.5
918,[97],6.8
919,[82],7.9
920,[110],7.7
921,[121],7.3
922,[106],6.3
923,[129],6.3
924,[107],6.7
925,[86],7.8
926,[104],6.5
927,[90],6.9
928,[117],7.4
929,[100],5.7
930,[95],7.0
931,[114],7.5
932,[116],6.8
933,[93],6.8
934,[104],6.5
935,[90],6.6
936,[94],7.9
937,[112],6.3
938,[112],7.2
939,[106],7.9
940,[140],7.2
941,[140],7.6
942,[107],6.0
943,[98],6.2
944,[121],7.6
945,[119],6.4
946,[95],7.0
947,[124],7.3
948,[118],6.8
949,[107],6.6
950,[130],6.5
951,[96],6.8
952,[108],6.9
953,[122],7.7
954,[116],6.9
955,[95],7.1
956,[90],7.2
957,[169],8.1
958,[112],6.2
959,[82],6.3
960,[97],7.9
961,[135],6.9
962,[93],5.8
963,[87],6.7
964,[115],5.6
965,[117],6.7
966,[105],7.7
967,[88],7.6
968,[90],6.7
969,[130],8.1
970,[95],6.2
971,[106],6.5
972,[104],7.4
973,[113],5.9
974,[97],7.1
975,[89],7.6
976,[94],5.4
977,[106],6.1
978,[167],7.2
979,[105],6.3
980,[98],7.8
981,[118],7.0
982,[87],7.6
983,[116],7.3
984,[159],7.7
985,[123],6.6
986,[102],6.2
987,[121],7.4
988,[143],7.3
989,[95],6.9
990,[118],7.0
991,[180],5.0
992,[93],3.5
993,[131],5.9
994,[134],6.8
995,[95],7.2
996,[118],7.6
997,[95],7.7
998,[130],7.6
999,[93],5.9
1000,[127],8.6
1001,[130],8.5
1002,[113],8.4
1003,[138],8.1
1004,[106],8.5
1005,[107],8.1
1006,[149],8.1
1007,[113],8.0
1008,[146],7.5
1009,[115],8.0
1010,[147],8.4
1011,[115],7.3
1012,[109],8.5
1013,[153],8.1
1014,[128],7.6
1015,[116],7.9
1016,[129],8.0
1017,[124],7.0
1018,[138],8.2
1019,[101],8.4
1020,[119],7.9
1021,[145],7.6
1022,[168],7.8
1023,[162],7.6
1024,[93],7.5
1025,[104],7.7
1026,[108],7.7
1027,[121],7.8
1028,[157],7.7
1029,[164],8.0
1030,[112],8.4
1031,[112],7.5
1032,[108],7.7
1033,[139],6.7
1034,[129],7.5
1035,[138],7.9
1036,[158],7.8
1037,[113],6.8
1038,[149],6.6
1039,[119],8.3
1040,[106],7.3
1041,[103],7.6
1042,[109],8.1
1043,[128],8.3
1044,[137],8.4
1045,[172],7.4
1046,[129],7.8
1047,[112],7.0
1048,[106],6.7
1049,[129],7.6
1050,[104],7.6
1051,[97],7.9
1052,[105],7.3
1053,[144],7.5
1054,[115],7.1
1055,[147],8.0
1056,[131],6.9
1057,[110],7.7
1058,[159],7.4
1059,[100],6.4
1060,[136],8.3
1061,[130],8.2
1062,[103],7.2
1063,[111],7.2
1064,[103],6.8
1065,[118],7.2
1066,[138],6.7
1067,[104],6.8
1068,[150],7.4
1069,[106],6.9
1070,[114],7.6
1071,[113],6.8
1072,[136],6.9
1073,[123],7.8
1074,[108],6.5
1075,[93],6.6
1076,[81],6.5
1077,[97],7.2
1078,[90],7.3
1079,[121],6.2
1080,[86],6.3
1081,[105],6.8
1082,[134],7.3
1083,[127],7.3
1084,[124],6.5
1085,[110],6.8
1086,[152],7.8
1087,[90],7.2
1088,[116],6.9
1089,[100],6.8
1090,[114],6.5
1091,[107],7.7
1092,[91],5.0
1093,[98],6.4
1094,[129],8.2
1095,[123],6.9
1096,[92],6.9
1097,[100],7.6
1098,[122],7.1
1099,[121],6.6
1100,[142],8.8
1101,[194],7.8
1102,[108],8.3
1103,[126],8.3
1104,[120],8.0
1105,[122],8.3
1106,[122],7.7
1107,[116],8.6
1108,[166],7.8
1109,[101],8.0
1110,[126],8.0
1111,[143],7.8
1112,[102],8.5
1113,[123],7.8
1114,[143],7.2
1115,[95],7.7
1116,[118],7.4
1117,[103],8.0
1118,[105],7.9
1119,[135],7.6
1120,[122],5.2
1121,[128],7.4
1122,[123],7.7
1123,[116],7.1
1124,[94],7.7
1125,[128],8.3
1126,[92],7.0
1127,[129],6.9
1128,[116],7.0
1129,[126],7.7
1130,[109],6.5
1131,[104],6.8
1132,[119],6.9
1133,[99],6.8
1134,[134],7.7
1135,[136],7.7
1136,[109],7.4
1137,[100],7.6
1138,[94],7.8
1139,[108],7.0
1140,[125],4.1
1141,[118],6.6
1142,[97],7.3
1143,[108],6.7
1144,[119],7.1
1145,[238],8.1
1146,[119],7.0
1147,[112],7.2
1148,[139],7.7
1149,[124],7.1
1150,[127],7.6
1151,[125],6.8
1152,[101],8.1
1153,[111],7.1
1154,[106],8.0
1155,[115],6.3
1156,[93],8.0
1157,[129],7.8
1158,[136],6.9
1159,[123],7.8
1160,[106],7.0
1161,[96],7.1
1162,[121],8.2
1163,[139],7.3
1164,[136],6.9
1165,[110],7.2
1166,[124],7.6
1167,[80],8.0
1168,[100],7.9
1169,[90],6.5
1170,[97],7.2
1171,[137],8.0
1172,[97],6.7
1173,[119],6.7
1174,[98],6.9
1175,[117],6.4
1176,[103],8.3
1177,[141],7.8
1178,[178],7.2
1179,[108],6.4
1180,[108],6.2
1181,[119],7.2
1182,[120],6.7
1183,[102],7.4
1184,[116],6.4
1185,[124],7.6
1186,[119],7.9
1187,[96],6.4
1188,[104],7.2
1189,[109],6.7
1190,[106],7.4
1191,[126],7.0
1192,[132],7.9
1193,[101],7.4
1194,[100],7.0
1195,[105],7.0
1196,[127],7.0
1197,[119],7.3
1198,[95],7.6
1199,[92],5.6
1200,[148],8.8
1201,[136],8.7
1202,[169],8.6
1203,[143],8.0
1204,[130],8.5
1205,[116],8.5
1206,[132],8.2
1207,[137],8.5
1208,[126],7.9
1209,[103],8.1
1210,[108],8.3
1211,[120],8.1
1212,[138],7.9
1213,[127],8.1
1214,[142],7.2
1215,[149],8.4
1216,[107],8.0
1217,[117],8.4
1218,[91],7.7
1219,[130],7.2
1220,[136],8.3
1221,[144],8.0
1222,[113],8.0
1223,[124],6.9
1224,[141],7.3
1225,[136],7.7
1226,[124],7.0
1227,[143],7.0
1228,[117],8.1
1229,[121],7.3
1230,[132],8.0
1231,[147],7.8
1232,[137],8.3
1233,[131],7.7
1234,[112],7.9
1235,[137],8.1
1236,[151],6.4
1237,[134],7.3
1238,[144],7.0
1239,[149],8.3
1240,[113],7.9
1241,[127],7.9
1242,[116],7.9
1243,[124],7.0
1244,[129],8.0
1245,[104],7.4
1246,[124],7.0
1247,[136],6.9
1248,[133],7.8
1249,[127],7.3
1250,[113],7.4
1251,[126],8.0
1252,[145],7.0
