,release_date,rating
354,[2],8.0
355,[6],6.9
356,[10],7.6
357,[6],6.6
358,[4],7.2
359,[5],8.1
360,[11],8.2
361,[9],7.7
362,[10],7.7
363,[5],7.4
364,[7],7.0
365,[4],7.4
366,[7],7.1
367,[1],7.9
368,[5],7.7
369,[5],6.6
370,[7],7.0
371,[10],7.7
372,[6],7.0
373,[7],7.5
374,[4],6.8
375,[5],7.1
376,[6],7.3
377,[10],8.0
378,[5],6.9
379,[7],8.1
380,[4],6.9
381,[5],7.1
382,[8],7.0
383,[11],7.3
384,[10],7.3
385,[5],7.8
386,[11],7.8
387,[1],7.9
388,[5],6.9
389,[10],7.9
390,[5],7.0
391,[6],6.9
392,[6],6.2
393,[10],8.2
394,[6],6.5
395,[11],8.4
396,[11],6.8
397,[4],6.8
398,[6],6.9
399,[6],7.2
400,[6],9.0
401,[9],8.9
402,[2],9.2
403,[8],8.6
404,[1],8.6
405,[9],8.5
406,[11],8.2
407,[11],8.6
408,[11],9.0
409,[10],8.5
410,[8],8.7
411,[9],8.1
412,[7],8.5
413,[8],8.3
414,[10],8.1
415,[9],8.5
416,[11],8.1
417,[0],8.3
418,[1],8.3
419,[3],8.0
420,[11],8.3
421,[2],8.1
422,[1],8.3
423,[1],8.6
424,[2],8.1
425,[3],8.0
426,[3],8.9
427,[3],8.1
428,[4],7.3
429,[8],8.1
430,[11],8.2
431,[8],7.8
432,[7],8.2
433,[8],8.2
434,[3],7.6
435,[9],7.4
436,[11],7.7
437,[2],7.2
438,[5],7.6
439,[11],7.8
440,[3],7.6
441,[10],8.2
442,[9],7.9
443,[5],6.5
444,[11],7.2
445,[2],7.7
446,[5],7.6
447,[6],6.9
448,[4],7.7
449,[9],7.8
450,[9],7.9
451,[11],7.8
452,[11],8.2
453,[10],8.1
454,[11],7.5
455,[7],7.0
456,[10],7.8
457,[1],7.9
458,[9],7.7
459,[9],7.6
460,[5],6.7
461,[7],7.5
462,[11],6.5
463,[11],7.6
464,[1],7.5
465,[3],7.3
466,[5],7.3
467,[10],7.9
468,[8],7.5
469,[5],6.8
470,[5],7.0
471,[4],7.0
472,[6],6.9
473,[2],7.6
474,[8],7.2
475,[3],7.7
476,[5],6.9
477,[7],6.9
478,[11],7.5
479,[8],7.0
480,[5],8.4
481,[10],7.9
482,[3],7.7
483,[10],6.8
484,[8],7.6
485,[10],7.0
486,[2],8.2
487,[4],5.8
488,[9],7.0
489,[8],7.7
490,[9],6.8
491,[0],7.2
492,[1],7.7
493,[6],7.0
494,[5],7.9
495,[5],6.9
496,[1],7.7
497,[5],7.0
498,[4],7.4
499,[9],7.4
500,[9],9.3
501,[6],9.0
502,[9],8.8
503,[9],8.9
504,[6],8.8
505,[11],8.8
506,[11],8.9
507,[2],9.2
508,[11],8.7
509,[10],8.6
510,[8],8.6
511,[11],8.4
512,[4],8.5
513,[1],8.6
514,[7],8.3
515,[6],8.6
516,[1],8.9
517,[9],8.5
518,[9],8.5
519,[11],8.2
520,[11],8.6
521,[11],9.0
522,[9],8.3
523,[11],7.8
524,[10],8.5
525,[2],8.2
526,[10],8.5
527,[8],8.7
528,[4],8.3
529,[5],8.5
530,[5],8.1
531,[8],8.3
532,[7],8.1
533,[10],8.7
534,[2],8.3
535,[5],8.4
536,[0],8.3
537,[9],8.1
538,[10],8.1
539,[9],8.5
540,[0],8.2
541,[11],8.1
542,[11],8.0
543,[9],7.7
544,[11],8.3
545,[6],8.1
546,[3],8.4
547,[1],8.3
548,[9],8.0
549,[6],8.5
550,[0],8.0
551,[2],7.6
552,[11],8.3
553,[0],8.1
554,[2],8.5
555,[1],8.3
556,[1],8.5
557,[11],8.0
558,[1],8.6
559,[0],8.0
560,[11],7.2
561,[11],8.0
562,[3],8.9
563,[6],8.3
564,[11],7.7
565,[11],8.0
566,[2],8.1
567,[7],8.1
568,[10],8.1
569,[0],8.1
570,[9],7.7
571,[0],8.2
572,[1],8.6
573,[3],8.1
574,[7],8.4
575,[8],8.1
576,[11],7.8
577,[10],7.9
578,[10],7.9
579,[10],7.7
580,[9],7.7
581,[11],8.2
582,[9],8.1
583,[8],7.8
584,[8],7.4
585,[6],7.9
586,[8],8.2
587,[0],8.0
588,[11],7.8
589,[0],8.5
590,[5],7.8
591,[11],8.1
592,[0],8.2
593,[10],8.4
594,[11],7.8
595,[7],7.6
596,[6],7.1
597,[6],7.7
598,[2],7.6
599,[11],8.0
600,[11],8.9
601,[11],8.7
602,[4],8.6
603,[5],8.7
604,[11],8.6
605,[11],7.8
606,[6],8.0
607,[4],8.3
608,[11],7.8
609,[6],8.1
610,[4],7.0
611,[4],6.5
612,[4],7.5
613,[6],7.3
614,[4],6.5
615,[10],7.6
616,[0],8.2
617,[11],7.8
618,[4],7.1
619,[7],6.0
620,[10],6.9
621,[10],7.5
622,[11],7.8
623,[10],7.9
624,[1],8.0
625,[11],7.0
626,[10],7.4
627,[5],7.4
628,[5],7.9
629,[10],7.7
630,[9],7.6
631,[11],8.2
632,[4],6.6
633,[11],7.4
634,[10],7.7
635,[11],7.9
636,[6],6.4
637,[10],5.2
638,[10],8.0
639,[0],8.0
640,[10],7.3
641,[0],8.6
642,[4],7.0
643,[9],8.1
644,[5],7.7
645,[2],6.4
646,[10],6.4
647,[7],8.0
648,[7],7.5
649,[4],6.8
650,[11],6.9
651,[11],7.3
652,[5],6.7
653,[8],7.6
654,[5],7.8
655,[11],7.0
656,[11],6.7
657,[11],8.4
658,[10],7.3
659,[6],5.7
660,[11],7.7
661,[3],6.8
662,[5],6.4
663,[10],7.5
664,[1],7.0
665,[4],6.3
666,[10],7.8
667,[11],7.3
668,[9],8.0
669,[2],6.9
670,[6],8.2
671,[5],7.0
672,[4],6.6
673,[3],5.8
674,[2],7.1
675,[2],6.6
676,[10],4.7
677,[4],6.6
678,[6],7.0
679,[5],6.8
680,[2],7.5
681,[0],7.8
682,[7],7.6
683,[8],7.0
684,[5],5.6
685,[11],6.9
686,[4],6.2
687,[4],6.1
688,[5],6.8
689,[10],7.6
690,[2],6.0
691,[10],5.5
692,[5],5.0
693,[10],6.6
694,[1],5.2
695,[10],4.9
696,[10],7.5
697,[10],6.9
698,[4],7.0
699,[8],7.8
700,[1],8.9
701,[4],8.3
702,[11],8.0
703,[10],8.1
704,[6],7.9
705,[4],7.2
706,[10],8.1
707,[8],8.3
708,[0],7.7
709,[8],7.6
710,[1],8.1
711,[3],8.2
712,[4],6.2
713,[11],7.6
714,[0],8.1
715,[9],7.6
716,[0],7.4
717,[5],7.6
718,[5],7.2
719,[10],7.3
720,[2],7.6
721,[2],6.8
722,[11],7.1
723,[6],8.2
724,[1],8.0
725,[0],8.1
726,[0],7.1
727,[0],7.5
728,[0],7.8
729,[0],7.6
730,[7],7.9
731,[5],8.0
732,[0],7.7
733,[7],7.9
734,[9],7.3
735,[11],7.3
736,[8],7.1
737,[11],8.1
738,[11],8.0
739,[11],7.2
740,[0],7.2
741,[2],7.2
742,[1],6.1
743,[1],7.8
744,[7],6.6
745,[11],7.7
746,[0],8.2
747,[0],7.3
748,[9],7.3
749,[10],7.3
750,[1],6.7
751,[0],7.7
752,[3],8.0
753,[9],6.4
754,[11],6.7
755,[3],7.5
756,[0],7.2
757,[10],7.4
758,[3],7.7
759,[1],7.4
760,[0],7.8
761,[2],8.0
762,[0],7.5
763,[10],7.7
764,[0],6.7
765,[2],7.2
766,[6],6.4
767,[9],6.9
768,[7],5.9
769,[10],7.2
770,[3],6.6
771,[11],6.7
772,[3],7.0
773,[11],7.3
774,[2],7.8
775,[9],6.8
776,[6],7.3
777,[4],6.5
778,[0],6.6
779,[9],7.5
780,[0],6.8
781,[6],6.7
782,[0],7.3
783,[3],6.7
784,[9],7.4
785,[0],7.3
786,[3],7.3
787,[11],6.6
788,[11],8.0
789,[0],8.0
790,[9],7.8
791,[10],6.7
792,[5],7.4
793,[1],7.8
794,[11],7.6
795,[2],7.6
796,[1],7.5
797,[7],7.3
798,[9],8.1
799,[5],7.6
800,[5],8.4
801,[5],8.4
802,[5],7.0
803,[8],8.5
804,[8],7.9
805,[1],7.7
806,[8],7.3
807,[6],7.5
808,[0],7.3
809,[3],7.5
810,[9],7.6
811,[5],7.6
812,[0],7.0
813,[3],7.0
814,[5],8.1
815,[11],8.0
816,[11],7.3
