,run_length,genres,release_date,rating,movie_rated_pg-13,movie_rated_r,movie_rated_pg,movie_rated_g,movie_rated_not rated,movie_rated_approved,movie_rated_passed,movie_rated_nc-17,movie_rated_tv-ma,movie_rated_null,movie_rated_gp,movie_rated_m/pg,movie_rated_tv-14,movie_rated_tv-pg
52,2h 31min,Action; Adventure; Fantasy; ,6,7.3,True,False,False,False,False,False,False,False,False,False,False,False,False,False
53,1h 55min,Animation; Action; Adventure; ,10,8.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
54,2h 27min,Action; Adventure; Sci-Fi; ,4,7.8,True,False,False,False,False,False,False,False,False,False,False,False,False,False
55,2h 17min,Action; Adventure; Sci-Fi; ,6,8.3,True,False,False,False,False,False,False,False,False,False,False,False,False,False
56,2h 11min,Action; Adventure; Sci-Fi; ,5,7.7,True,False,False,False,False,False,False,False,False,False,False,False,False,False
57,2h 22min,Action; Adventure; Fantasy; ,4,6.5,True,False,False,False,False,False,False,False,False,False,False,False,False,False
58,1h 51min,Animation; Adventure; Comedy; ,5,8.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
59,2h 32min,Adventure; Fantasy; ,10,7.6,True,False,False,False,False,False,False,False,False,False,False,False,False,False
60,2h 5min,Animation; Adventure; ,2,8.6,True,False,False,False,False,False,False,False,False,False,False,False,False,False
61,2h 23min,Action; Adventure; Thriller; ,10,7.7,True,False,False,False,False,False,False,False,False,False,False,False,False,False
62,2h 31min,Action; Adventure; Sci-Fi; ,2,6.4,True,False,False,False,False,False,False,False,False,False,False,False,False,False
63,2h 26min,Action; Adventure; Mystery; ,10,7.5,True,False,False,False,False,False,False,False,False,False,False,False,False,False
64,1h 30min,Animation; Adventure; Comedy; ,4,7.8,True,False,False,False,False,False,False,False,False,False,False,False,False,False
65,2h 41min,Adventure; Fantasy; ,11,7.8,True,False,False,False,False,False,False,False,False,False,False,False,False,False
66,2h 14min,Action; Adventure; Sci-Fi; ,1,7.3,True,False,False,False,False,False,False,False,False,False,False,False,False,False
67,1h 35min,Animation; Adventure; Comedy; ,5,8.1,True,False,False,False,False,False,False,False,False,False,False,False,False,False
68,2h 24min,Action; Adventure; Sci-Fi; ,6,7.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
69,1h 56min,Action; Adventure; Horror; ,5,7.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
70,2h 29min,Adventure; Sci-Fi; ,4,8.3,True,False,False,False,False,False,False,False,False,False,False,False,False,False
71,2h 49min,Action; Adventure; Fantasy; ,4,7.1,True,False,False,False,False,False,False,False,False,False,False,False,False,False
72,2h 3min,Action; Adventure; Fantasy; ,7,6.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
73,1h 53min,Action; Adventure; Sci-Fi; ,5,7.9,True,False,False,False,False,False,False,False,False,False,False,False,False,False
74,1h 52min,Action; Adventure; Fantasy; ,10,6.9,True,False,False,False,False,False,False,False,False,False,False,False,False,False
75,2h 9min,Action; Adventure; Comedy; ,1,7.7,True,False,False,False,False,False,False,False,False,False,False,False,False,False
76,1h 55min,Action; Adventure; Fantasy; ,10,7.5,True,False,False,False,False,False,False,False,False,False,False,False,False,False
77,2h 8min,Action; Adventure; Mystery; ,11,7.6,True,False,False,False,False,False,False,False,False,False,False,False,False,False
78,2h 7min,Action; Adventure; Sci-Fi; ,4,7.9,True,False,False,False,False,False,False,False,False,False,False,False,False,False
79,2h 7min,Adventure; Drama; Fantasy; ,10,7.9,True,False,False,False,False,False,False,False,False,False,False,False,False,False
80,2h 24min,Action; Adventure; Thriller; ,10,8.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
81,2h 4min,Action; Adventure; Sci-Fi; ,5,7.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
82,1h 44min,Action; Adventure; Sci-Fi; ,6,7.4,True,False,False,False,False,False,False,False,False,False,False,False,False,False
83,2h 4min,Adventure; Mystery; Sci-Fi; ,5,7.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
84,2h 10min,Action; Adventure; Comedy; ,10,7.9,True,False,False,False,False,False,False,False,False,False,False,False,False,False
85,1h 42min,Animation; Adventure; Comedy; ,10,7.4,True,False,False,False,False,False,False,False,False,False,False,False,False,False
86,2h 28min,Adventure; Biography; Drama; ,9,8.1,True,False,False,False,False,False,False,False,False,False,False,False,False,False
87,1h 57min,Action; Adventure; Comedy; ,6,7.3,True,False,False,False,False,False,False,False,False,False,False,False,False,False
88,2h 16min,Action; Adventure; Sci-Fi; ,6,6.9,True,False,False,False,False,False,False,False,False,False,False,False,False,False
89,2h 16min,Action; Adventure; Comedy; ,4,7.6,True,False,False,False,False,False,False,False,False,False,False,False,False,False
90,2h 32min,Action; Adventure; Fantasy; ,11,7.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
91,2h 13min,Action; Adventure; Sci-Fi; ,11,7.8,True,False,False,False,False,False,False,False,False,False,False,False,False,False
92,2h 4min,Adventure; Thriller; ,5,8.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
93,2h 41min,Adventure; Fantasy; ,10,7.4,True,False,False,False,False,False,False,False,False,False,False,False,False,False
94,2h 21min,Action; Adventure; Fantasy; ,5,7.4,True,False,False,False,False,False,False,False,False,False,False,False,False,False
95,2h 7min,Action; Adventure; Sci-Fi; ,5,7.3,True,False,False,False,False,False,False,False,False,False,False,False,False,False
96,2h 22min,Adventure; Fantasy; ,5,7.9,True,False,False,False,False,False,False,False,False,False,False,False,False,False
97,2h 37min,Adventure; Fantasy; ,10,7.7,True,False,False,False,False,False,False,False,False,False,False,False,False,False
98,2h 25min,Action; Adventure; Sci-Fi; ,6,7.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
99,1h 32min,Animation; Adventure; Comedy; ,10,7.9,True,False,False,False,False,False,False,False,False,False,False,False,False,False
100,1h 38min,Animation; Adventure; ,5,8.4,True,False,False,False,False,False,False,False,False,False,False,False,False,False
101,1h 40min,Animation; Adventure; Comedy; ,4,8.1,True,False,False,False,False,False,False,False,False,False,False,False,False,False
102,1h 28min,Animation; Adventure; Drama; ,5,8.5,True,False,False,False,False,False,False,False,False,False,False,False,False,False
103,1h 36min,Animation; Adventure; Comedy; ,4,8.2,True,False,False,False,False,False,False,False,False,False,False,False,False,False
104,1h 21min,Animation; Adventure; Comedy; ,10,8.3,True,False,False,False,False,False,False,False,False,False,False,False,False,False
105,1h 32min,Animation; Adventure; Comedy; ,10,8.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
106,1h 43min,Animation; Adventure; Comedy; ,5,8.3,True,False,False,False,False,False,False,False,False,False,False,False,False,False
107,1h 38min,Animation; Action; Adventure; ,2,8.1,True,False,False,False,False,False,False,False,False,False,False,False,False,False
108,1h 55min,Animation; Action; Adventure; ,10,8.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
109,1h 51min,Animation; Adventure; Comedy; ,5,8.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
110,2h 5min,Animation; Adventure; ,2,8.6,True,False,False,False,False,False,False,False,False,False,False,False,False,False
111,1h 30min,Animation; Adventure; Comedy; ,4,7.8,True,False,False,False,False,False,False,False,False,False,False,False,False,False
112,1h 35min,Animation; Adventure; Comedy; ,5,8.1,True,False,False,False,False,False,False,False,False,False,False,False,False,False
113,1h 42min,Animation; Adventure; Comedy; ,10,7.4,True,False,False,False,False,False,False,False,False,False,False,False,False,False
114,1h 32min,Animation; Adventure; Comedy; ,10,7.9,True,False,False,False,False,False,False,False,False,False,False,False,False,False
115,1h 35min,Animation; Comedy; ,6,7.6,True,False,False,False,False,False,False,False,False,False,False,False,False,False
116,1h 21min,Animation; Adventure; Comedy; ,2,7.5,True,False,False,False,False,False,False,False,False,False,False,False,False,False
117,1h 48min,Animation; Adventure; Comedy; ,2,8.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
118,1h 24min,Animation; Fantasy; ,10,8.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
119,1h 33min,Animation; Adventure; Comedy; ,4,7.2,True,False,False,False,False,False,False,False,False,False,False,False,False,False
120,1h 32min,Animation; Action; Adventure; ,5,7.5,True,False,False,False,False,False,False,False,False,False,False,False,False,False
121,1h 42min,Animation; Action; Adventure; ,10,7.8,True,False,False,False,False,False,False,False,False,False,False,False,False,False
122,1h 40min,Animation; Adventure; Comedy; ,10,7.7,True,False,False,False,False,False,False,False,False,False,False,False,False,False
123,1h 41min,Animation; Adventure; Comedy; ,10,7.7,True,False,False,False,False,False,False,False,False,False,False,False,False,False
124,1h 33min,Animation; Adventure; Comedy; ,5,7.1,True,False,False,False,False,False,False,False,False,False,False,False,False,False
125,1h 38min,Animation; Adventure; Comedy; ,6,7.3,True,False,False,False,False,False,False,False,False,False,False,False,False,False
