,movie_rated,run_length,genres,release_date,rating
74,PG-13,1h 52min,Action; Adventure; Fantasy; ,8 November 2013 (USA),6.9
75,R,2h 9min,Action; Adventure; Comedy; ,13 February 2015 (USA),7.7
76,PG-13,1h 55min,Action; Adventure; Fantasy; ,4 November 2016 (USA),7.5
77,PG-13,2h 8min,Action; Adventure; Mystery; ,25 December 2009 (USA),7.6
78,PG-13,2h 7min,Action; Adventure; Sci-Fi; ,8 May 2009 (USA),7.9
79,PG,2h 7min,Adventure; Drama; Fantasy; ,21 November 2012 (USA),7.9
80,PG-13,2h 24min,Action; Adventure; Thriller; ,17 November 2006 (USA),8.0
81,PG-13,2h 4min,Action; Adventure; Sci-Fi; ,12 June 2015 (USA),7.0
82,PG-13,1h 44min,Action; Adventure; Sci-Fi; ,14 July 2000 (USA),7.4
83,R,2h 4min,Adventure; Mystery; Sci-Fi; ,8 June 2012 (USA),7.0
84,PG-13,2h 10min,Action; Adventure; Comedy; ,3 November 2017 (USA),7.9
85,PG,1h 42min,Animation; Adventure; Comedy; ,27 November 2013 (USA),7.4
86,R,2h 28min,Adventure; Biography; Drama; ,19 October 2007 (USA),8.1
87,PG-13,1h 57min,Action; Adventure; Comedy; ,17 July 2015 (USA),7.3
88,PG-13,2h 16min,Action; Adventure; Sci-Fi; ,3 July 2012 (USA),6.9
89,PG-13,2h 16min,Action; Adventure; Comedy; ,5 May 2017 (USA),7.6
90,PG-13,2h 32min,Action; Adventure; Fantasy; ,15 December 2017 (USA),7.0
91,PG-13,2h 13min,Action; Adventure; Sci-Fi; ,16 December 2016 (USA),7.8
92,PG,2h 4min,Adventure; Thriller; ,20 June 1975 (USA),8.0
93,PG,2h 41min,Adventure; Fantasy; ,15 November 2002 (USA),7.4
94,PG-13,2h 21min,Action; Adventure; Fantasy; ,2 June 2017 (USA),7.4
95,PG-13,2h 7min,Action; Adventure; Sci-Fi; ,30 June 2004 (USA),7.3
96,PG,2h 22min,Adventure; Fantasy; ,4 June 2004 (USA),7.9
97,PG-13,2h 37min,Adventure; Fantasy; ,18 November 2005 (USA),7.7
98,PG-13,2h 25min,Action; Adventure; Sci-Fi; ,3 July 1996 (USA),7.0
99,G,1h 32min,Animation; Adventure; Comedy; ,24 November 1999 (USA),7.9
100,G,1h 38min,Animation; Adventure; ,27 June 2008 (USA),8.4
101,G,1h 40min,Animation; Adventure; Comedy; ,30 May 2003 (USA),8.1
102,G,1h 28min,Animation; Adventure; Drama; ,24 June 1994 (USA),8.5
103,PG,1h 36min,Animation; Adventure; Comedy; ,29 May 2009 (USA),8.2
104,G,1h 21min,Animation; Adventure; Comedy; ,22 November 1995 (USA),8.3
105,G,1h 32min,Animation; Adventure; Comedy; ,2 November 2001 (USA),8.0
106,G,1h 43min,Animation; Adventure; Comedy; ,18 June 2010 (USA),8.3
107,PG,1h 38min,Animation; Action; Adventure; ,26 March 2010 (USA),8.1
108,PG,1h 55min,Animation; Action; Adventure; ,5 November 2004 (USA),8.0
109,G,1h 51min,Animation; Adventure; Comedy; ,29 June 2007 (USA),8.0
110,PG,2h 5min,Animation; Adventure; ,28 March 2003 (USA),8.6
111,PG,1h 30min,Animation; Adventure; Comedy; ,18 May 2001 (USA),7.8
112,PG,1h 35min,Animation; Adventure; Comedy; ,19 June 2015 (USA),8.1
113,PG,1h 42min,Animation; Adventure; Comedy; ,27 November 2013 (USA),7.4
114,G,1h 32min,Animation; Adventure; Comedy; ,24 November 1999 (USA),7.9
115,PG,1h 35min,Animation; Comedy; ,9 July 2010 (USA),7.6
116,PG,1h 21min,Animation; Adventure; Comedy; ,15 March 2002 (USA),7.5
117,PG,1h 48min,Animation; Adventure; Comedy; ,4 March 2016 (USA),8.0
118,G,1h 24min,Animation; Fantasy; ,22 November 1991 (USA),8.0
119,PG,1h 33min,Animation; Adventure; Comedy; ,19 May 2004 (USA),7.2
120,PG,1h 32min,Animation; Action; Adventure; ,6 June 2008 (USA),7.5
121,PG,1h 42min,Animation; Action; Adventure; ,7 November 2014 (USA),7.8
122,PG,1h 40min,Animation; Adventure; Comedy; ,24 November 2010 (USA),7.7
123,PG,1h 41min,Animation; Adventure; Comedy; ,2 November 2012 (USA),7.7
124,PG,1h 33min,Animation; Adventure; Comedy; ,22 June 2012 (USA),7.1
125,PG,1h 38min,Animation; Adventure; Comedy; ,3 July 2013 (USA),7.3
126,G,1h 30min,Animation; Adventure; Comedy; ,25 November 1992 (USA),8.0
127,PG,1h 26min,Animation; Adventure; Comedy; ,27 May 2005 (USA),6.9
128,G,1h 57min,Animation; Comedy; ,9 June 2006 (USA),7.1
129,PG,1h 45min,Animation; Adventure; ,22 November 2017 (USA),8.4
130,PG-13,2h 14min,Animation; Adventure; Fantasy; ,19 December 1997 (USA),8.4
131,PG,1h 57min,Animation; Action; Adventure; ,14 December 2018 (USA),8.4
132,PG,1h 40min,Animation; Action; Adventure; ,7 February 2014 (USA),7.7
133,PG,1h 59min,Animation; Adventure; ,17 June 2005 (USA),8.2
134,G,1h 44min,Animation; Adventure; Comedy; ,21 June 2013 (USA),7.3
135,PG-13,1h 27min,Animation; Adventure; Comedy; ,27 July 2007 (USA),7.3
136,PG,1h 42min,Animation; Action; Adventure; ,13 June 2014 (USA),7.8
137,PG,1h 16min,Animation; Fantasy; ,29 October 1993 (USA),8.0
138,G,1h 26min,Animation; Fantasy; ,13 July 1990 (USA),8.2
139,PG,1h 33min,Animation; Adventure; Comedy; ,18 May 2007 (USA),6.1
140,G,1h 35min,Animation; Adventure; Comedy; ,25 November 1998 (USA),7.2
141,PG,1h 47min,Animation; Adventure; Comedy; ,23 November 2016 (USA),7.6
142,PG,1h 31min,Animation; Adventure; Comedy; ,31 March 2006 (USA),6.8
143,PG,1h 30min,Animation; Action; Adventure; ,26 May 2011 (USA),7.2
144,G,1h 28min,Animation; Adventure; ,19 June 1998 (USA),7.6
145,PG,1h 58min,Animation; Action; Adventure; ,15 June 2018 (USA),7.6
146,PG,1h 17min,Animation; Drama; ,23 September 2005 (USA),7.3
147,PG,1h 37min,Animation; Adventure; Comedy; ,17 June 2016 (USA),7.3
148,G,1h 23min,Animation; Fantasy; ,17 November 1989 (USA),7.6
149,PG,1h 47min,Animation; Adventure; Comedy; ,4 March 2011 (USA),7.2
150,Not Rated,1h 29min,Animation; Drama; War; ,26 July 1989 (USA),8.5
151,PG,1h 35min,Animation; Action; Comedy; ,5 November 2010 (USA),7.2
152,PG,1h 34min,Animation; Adventure; Comedy; ,1 July 2009 (USA),6.9
153,PG,1h 31min,Animation; Comedy; ,28 September 2012 (USA),7.1
154,PG,1h 47min,Animation; Action; Adventure; ,21 December 2011 (USA),7.3
155,PG,1h 31min,Animation; Adventure; Comedy; ,10 July 2015 (USA),6.4
