,movie_rated,run_length,release_date,rating,genre_action,genre_adventure,genre_sci-fi,genre_drama,genre_fantasy,genre_war,genre_comedy,genre_animation,genre_crime,genre_thriller,genre_mystery,genre_horror,genre_biography,genre_history,genre_music,genre_sport,genre_romance,genre_western
169,PG,1h 33min,21 May 2010 (USA),6.3,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
170,PG,1h 27min,8 July 2016 (USA),6.5,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
171,PG,1h 44min,22 June 1988 (USA),7.7,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
172,Approved,1h 23min,4 February 1938 (USA),7.6,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
173,G,1h 18min,15 December 2000 (USA),7.3,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
174,PG,1h 46min,7 April 2017 (USA),8.4,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False
175,PG,1h 47min,21 November 2007 (USA),7.0,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
176,G,1h 24min,23 June 2000 (USA),7.0,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
177,R,1h 29min,12 August 2016 (USA),6.1,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
178,PG,1h 26min,6 August 1999 (USA),8.0,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
179,G,1h 40min,10 November 2004 (USA),6.6,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
180,PG,1h 48min,17 November 2006 (USA),6.4,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
181,G,1h 21min,23 June 1995 (USA),6.7,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
182,PG,1h 30min,1 October 2004 (USA),6.0,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
183,PG,1h 25min,21 June 2002 (USA),7.2,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
184,G,1h 18min,18 October 1967 (USA),7.6,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
185,Not Rated,1h 32min,9 April 2009 (Australia),8.1,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False
186,PG-13,1h 55min,16 November 2007 (USA),6.2,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
187,PG,1h 33min,8 June 2012 (USA),6.8,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
188,R,2h 4min,16 July 1988 (Japan),8.0,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
189,PG,1h 28min,15 November 1996 (USA),6.4,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
190,PG,1h 23min,19 May 2006 (USA),6.7,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
191,G,1h 46min,24 June 2011 (USA),6.1,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
192,PG,1h 37min,21 November 2012 (USA),7.3,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
193,G,1h 19min,25 January 1961 (USA),7.2,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
194,PG,1h 23min,2 October 1998 (USA),6.5,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
195,PG,2h 5min,2 August 1986 (Japan),8.0,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
196,PG,1h 34min,27 March 2009 (USA),6.4,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
197,PG,1h 57min,25 November 1987 (USA),8.1,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
198,G,1h 14min,4 March 1950 (USA),7.3,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
199,PG,1h 30min,28 October 2011 (USA),6.6,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
200,R,3h 15min,4 February 1994 (USA),8.9,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False
201,R,3h,25 December 2013 (USA),8.2,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False
202,R,2h 26min,21 September 1990 (USA),8.7,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False
203,R,2h 58min,24 May 1995 (USA),8.3,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False
204,PG-13,2h 15min,4 January 2002 (USA),8.2,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
205,PG-13,2h 21min,25 December 2002 (USA),8.1,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False
206,R,1h 52min,13 July 2012 (India),8.5,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False
207,R,2h 30min,28 March 2003 (USA),8.5,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False
208,PG-13,1h 54min,25 December 2014 (USA),8.0,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False
209,R,1h 58min,25 December 2010 (USA),8.0,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False
210,R,2h 14min,8 November 2013 (USA),8.1,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False
211,PG-13,2h,1 October 2010 (USA),7.7,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
212,R,2h,12 October 2012 (USA),7.7,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False
213,R,2h 28min,19 October 2007 (USA),8.1,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
214,PG-13,1h 57min,15 December 2006 (USA),8.0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
215,PG-13,2h 14min,2 November 2018 (USA),8.0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False
